emotion_label,clean_content,clean_withSW_SL,clean_noSW_SL,clean_noSW_noSL
0,plane tickets to uk and everywhere in europe are beyond cheap for june oct but there s no gig in the near future announced yet,plane tickets to uk and everywhere in europe are beyond cheap for june oct but there s no gig in the near future announced yet,plane tickets uk everywhere europe beyond cheap june oct no gig near future announced yet,plane ticket uk everywher europ beyond cheap june oct no gig near futur announc yet
0,now only with windows 7,now only with windows ,windows,window
0,total tv quote not sure if u would know it,total tv quote not sure if u would know it,total tv quote not sure would know,total tv quot not sure would know
0,wake up and go make breakfast,wake up and go make breakfast,wake go make breakfast,wake go make breakfast
0,deck building buddy missing in action,deck building buddy missing in action,deck building buddy missing action,deck build buddi miss action
0,playin didgeridoo in the living room and thinking about the world going by lovely life fb,playin didgeridoo in the living room and thinking about the world going by lovely life fb,playin didgeridoo living room thinking world going lovely life fb,playin didgeridoo live room think world go love life fb
0,o i ph i ru cho b ng tr c khi b th y c i r ng tr i c y n y i mua m i th 1 kg n th ch t,o i ph i ru cho b ng tr c khi b th y c i r ng tr i c y n y i mua m i th  kg n th ch t,ph ru cho ng tr khi th ng tr mua th kg th ch,ph ru cho ng tr khi th ng tr mua th kg th ch
0,hi i have uploaded 5 completely new chinese lessons on www youtube com chineselearn please feel free to watch and enjoy,hi i have uploaded  completely new chinese lessons on ww youtube com chineselearn please feel free to watch and enjoy,hi uploaded completely new chinese lessons ww youtube com chineselearn please feel free watch enjoy,hi upload complet new chine lesson ww youtub com chineselearn plea feel free watch enjoy
0,mmmmmm i ve been craving sweet potatoes and almonds i m going to have to incorporate those super foods tomorrow,mm i ve been craving sweet potatoes and almonds i m going to have to incorporate those super foods tomorrow,mm craving sweet potatoes almonds going incorporate super foods tomorrow,mm crave sweet potato almond go incorpor super food tomorrow
0,office,office,office,offic
0,going to bed early got a lot of important women to visit for mothers day tomorrow ps as of midnight tonight happy bday boo bear,going to bed early got a lot of important women to visit for mothers day tomorrow ps as of midnight tonight happy bday boo bear,going bed early got lot important women visit mothers day tomorrow ps midnight tonight happy bday boo bear,go bed earli get lot import woman visit mother day tomorrow p midnight tonight happi bday boo bear
0,guess i m on twitter now,guess i m on twitter now,guess twitter,guess twitter
0,you re the only person to have joined in penile words,you re the only person to have joined in penile words,person joined penile words,person join penil word
0,watching intense amounts of gossip girl,watching intense amounts of gossip girl,watching intense amounts gossip girl,watch intens amount gossip girl
0,cant say i havee im at james but i did some rs yesterdayy im learning my quotess,cant say i havee im at james but i did some rs yesterdayy im learning my quotess,cant say havee im james rs yesterdayy im learning quotess,cant say have im jame r yesterdayi im learn quote
0,ouchhhhhh i burnt my frkn tongue,ouchh i burnt my frkn tongue,ouchh burnt frkn tongue,ouchh burnt frkn tongu
0,work at 6am gotta go to bed soon,work at am gotta go to bed soon,work gotta go bed soon,work gotta go bed soon
0,doesn t have a phone,doesn t have a phone,phone,phone
0,who sings i remember i alwaysss hear it on radio 1 but never catch the artist,who sings i remember i alwayss hear it on radio  but never catch the artist,sings remember alwayss hear radio never catch artist,sing rememb alwayss hear radio never catch artist
0,watching almost famous with andrew michael and yolanda,watching almost famous with andrew michael and yolanda,watching almost famous andrew michael yolanda,watch almost famou andrew michael yolanda
0,i can t believe how many people think it is great that i passed the quiz quot how blond are you quot on facebook i am very blond,i can t believe how many people think it is great that i passed the quiz quot how blond are you quot on facebook i am very blond,believe many people think great passed quiz quot blond quot facebook blond,believ mani peopl think great pas quiz quot blond quot facebook blond
0,aww i wish there was sun out here then i can get a tan walks it out go meee go meeee,aww i wish there was sun out here then i can get a tan walks it out go mee go mee,aww wish sun get tan walks go mee go mee,aww wish sun get tan walk go mee go mee
0,hello new maccy welcome to your new home,hello new maccy welcome to your new home,hello new maccy welcome new home,hello new macci welcom new home
0,yeah that s me i used my initials for my flickr account,yeah that s me i used my initials for my flickr account,yeah used initials flickr account,yeah use initi flickr account
0,nov 5th,nov th,nov th,nov th
0,g that is so odd i wanted to see it this weekend,g that is so odd i wanted to see it this weekend,odd wanted see weekend,odd want see weekend
